,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:35.081000,17.3,62.7,927.9,False,39.9,175,0.5
1,0 days 00:01:35.078000,17.3,63.0,927.9,False,39.7,169,0.5
2,0 days 00:02:35.078000,17.2,63.0,927.9,False,39.7,169,0.5
3,0 days 00:03:35.077000,17.2,64.0,927.8,False,39.7,183,0.4
4,0 days 00:04:35.078000,17.3,63.3,927.7,False,39.7,188,0.5
5,0 days 00:05:35.078000,17.3,63.3,927.7,False,39.7,188,0.5
6,0 days 00:06:35.080000,17.3,63.6,927.7,False,39.2,155,0.6
7,0 days 00:07:35.079000,17.5,63.6,927.7,False,39.2,155,0.6
8,0 days 00:08:35.077000,17.5,63.7,927.6,False,39.1,170,0.5
9,0 days 00:09:35.081000,17.6,63.6,927.6,False,38.9,177,0.7
10,0 days 00:10:35.078000,17.6,64.3,927.7,False,38.6,163,0.6
11,0 days 00:11:35.078000,17.5,64.4,927.7,False,38.4,177,0.8
12,0 days 00:12:35.078000,17.6,64.4,927.7,False,38.3,171,0.4
13,0 days 00:13:35.087000,17.6,64.4,927.7,False,38.3,171,0.4
14,0 days 00:14:35.079000,17.4,64.2,927.7,False,37.8,168,0.4
15,0 days 00:15:35.078000,17.4,64.2,927.7,False,37.8,168,0.4
16,0 days 00:16:35.079000,17.4,64.7,927.6,False,37.8,213,0.3
17,0 days 00:17:35.080000,17.5,64.7,927.6,False,37.8,213,0.3
18,0 days 00:18:35.080000,17.5,65.4,927.6,False,37.5,193,0.5
19,0 days 00:19:35.079000,17.4,65.4,927.6,False,37.5,193,0.5
20,0 days 00:20:35.080000,17.4,65.2,927.7,False,37.4,195,0.6
21,0 days 00:21:35.081000,17.4,65.2,927.7,False,37.4,195,0.6
22,0 days 00:22:35.078000,17.4,65.7,927.7,False,37.3,170,0.5
23,0 days 00:23:35.077000,17.4,66.0,927.6,False,37.3,178,0.5
24,0 days 00:24:35.079000,17.4,65.5,927.7,False,36.9,173,0.4
25,0 days 00:25:35.080000,17.3,65.6,927.7,False,36.6,187,0.6
26,0 days 00:26:35.080000,17.2,65.6,927.7,False,36.6,187,0.6
27,0 days 00:27:35.080000,17.2,65.5,927.6,False,36.2,157,0.3
28,0 days 00:28:35.082000,17.1,65.5,927.6,False,36.2,157,0.3
29,0 days 00:29:35.079000,17.1,65.4,927.6,False,35.8,172,0.4
30,0 days 00:30:35.080000,17.1,64.8,927.6,False,35.7,170,0.5
31,0 days 00:31:35.082000,17.1,64.8,927.6,False,35.7,170,0.5
32,0 days 00:32:35.080000,16.9,66.1,927.6,False,35.2,165,0.6
33,0 days 00:33:35.082000,16.9,66.1,927.6,False,35.2,165,0.6
34,0 days 00:34:35.090000,16.8,66.8,927.7,False,34.8,155,0.4
35,0 days 00:35:35.081000,16.8,66.9,927.6,False,34.8,161,0.5
36,0 days 00:36:35.080000,16.8,67.7,927.8,False,34.8,176,0.6
37,0 days 00:37:35.094000,16.8,67.7,927.8,False,34.8,176,0.6
38,0 days 00:38:35.092000,16.9,68.7,927.9,False,34.9,194,0.5
39,0 days 00:39:35.088000,16.9,68.7,927.9,False,34.9,194,0.5
40,0 days 00:40:35.070000,17.1,69.5,927.8,False,35.2,175,0.6
41,0 days 00:41:35.097000,17.0,69.5,927.8,False,35.2,175,0.6
42,0 days 00:42:35.080000,16.8,70.3,927.7,False,34.8,172,0.7
43,0 days 00:43:35.079000,16.8,70.6,927.7,False,34.4,188,0.4
44,0 days 00:44:35.083000,16.8,70.8,927.8,False,34.0,180,0.6
45,0 days 00:45:35.093000,16.7,71.0,927.8,False,34.0,162,0.4
46,0 days 00:46:35.095000,16.7,71.6,927.7,False,33.8,204,0.6
47,0 days 00:47:35.081000,16.7,71.6,927.7,False,33.8,204,0.6
48,0 days 00:48:35.080000,16.6,71.4,927.7,False,33.6,191,0.4
49,0 days 00:49:35.084000,16.6,71.1,927.8,False,33.5,179,0.5
50,0 days 00:50:35.079000,16.5,71.1,927.8,False,33.3,192,0.5
51,0 days 00:51:35.110000,16.5,71.7,927.8,False,33.1,159,0.6
52,0 days 00:52:35.080000,16.4,71.7,927.9,False,33.1,173,0.6
53,0 days 00:53:35.082000,16.4,72.4,927.7,False,32.7,165,0.8
54,0 days 00:54:35.078000,16.4,72.4,927.7,False,32.7,165,0.8
55,0 days 00:55:35.078000,16.3,73.2,927.8,False,32.5,139,0.7
56,0 days 00:56:35.076000,16.3,73.8,927.8,False,32.5,149,0.5
57,0 days 00:57:35.069000,16.2,73.8,927.7,False,32.5,153,0.6
58,0 days 00:58:35.084000,16.2,73.5,927.7,False,32.7,212,0.5
59,0 days 00:59:35.079000,16.2,73.4,927.8,False,32.7,170,0.4
60,0 days 01:00:35.078000,16.2,73.1,927.8,False,32.6,173,0.5
61,0 days 01:01:35.086000,16.2,73.3,927.8,False,32.6,207,0.5
62,0 days 01:02:35.086000,16.5,72.8,927.6,False,32.7,163,0.6
63,0 days 01:03:35.070000,16.5,73.8,927.8,False,32.7,182,0.6
64,0 days 01:04:35.080000,16.5,74.1,927.8,False,32.7,162,0.4
65,0 days 01:05:35.079000,16.5,73.6,927.8,False,32.8,172,0.6
66,0 days 01:06:35.088000,16.6,74.0,927.8,False,32.9,169,0.8
67,0 days 01:07:35.079000,16.6,74.4,927.8,False,32.9,150,0.6
